UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Type of service,Type of organisation,Number/Value Marker,Unit,Number/Value
10007143,University of Durham,England,North East,2015/16,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1049.0
10007143,University of Durham,England,North East,2015/16,Consultancy,Non-commercial organisations,Value,£000s,6250.0
10007143,University of Durham,England,North East,2015/16,Consultancy,Total,Value,£000s,7863.0
10007143,University of Durham,England,North East,2015/16,Contract research,SME's,Number,£000s,20.0
10007143,University of Durham,England,North East,2015/16,Contract research,Other (non-SME) commercial businesses,Number,£000s,149.0
10007143,University of Durham,England,North East,2015/16,Contract research,Non-commercial organisations,Number,£000s,156.0
10007143,University of Durham,England,North East,2015/16,Contract research,Total,Number,£000s,325.0
10007143,University of Durham,England,North East,2015/16,Contract research,SME's,Value,£000s,378.0
10007143,University of Durham,England,North East,2015/16,Contract research,Other (non-SME) commercial businesses,Value,£000s,3404.0
10007143,University of Durham,England,North East,2015/16,Contract research,Non-commercial organisations,Value,£000s,4413.0
10007143,University of Durham,England,North East,2015/16,Contract research,Total,Value,£000s,8195.0
10007143,University of Durham,England,North East,2015/16,Facilities and equipment related,SME's,Number,£000s,78.0
10007143,University of Durham,England,North East,2015/16,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,74.0
10007143,University of Durham,England,North East,2015/16,Facilities and equipment related,Non-commercial organisations,Number,£000s,14.0
10007143,University of Durham,England,North East,2015/16,Facilities and equipment related,Total,Number,£000s,166.0
10007143,University of Durham,England,North East,2015/16,Facilities and equipment related,SME's,Value,£000s,249.0
10007143,University of Durham,England,North East,2015/16,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,182.0
10007143,University of Durham,England,North East,2015/16,Facilities and equipment related,Non-commercial organisations,Value,£000s,48.0
10007143,University of Durham,England,North East,2015/16,Facilities and equipment related,Total,Value,£000s,479.0
10007143,University of Durham,England,North East,2016/17,Consultancy,SME's,Number,£000s,88.0
10007143,University of Durham,England,North East,2016/17,Consultancy,Other (non-SME) commercial businesses,Number,£000s,273.0
10007143,University of Durham,England,North East,2016/17,Consultancy,Non-commercial organisations,Number,£000s,12947.0
10007143,University of Durham,England,North East,2016/17,Consultancy,Total,Number,£000s,13308.0
10007143,University of Durham,England,North East,2016/17,Consultancy,SME's,Value,£000s,87.0
10007143,University of Durham,England,North East,2016/17,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1352.0
10007143,University of Durham,England,North East,2016/17,Consultancy,Non-commercial organisations,Value,£000s,6193.0
10007143,University of Durham,England,North East,2016/17,Consultancy,Total,Value,£000s,7632.0
10007143,University of Durham,England,North East,2016/17,Contract research,SME's,Number,£000s,31.0
10007143,University of Durham,England,North East,2016/17,Contract research,Other (non-SME) commercial businesses,Number,£000s,118.0
10007143,University of Durham,England,North East,2016/17,Contract research,Non-commercial organisations,Number,£000s,100.0
10007143,University of Durham,England,North East,2016/17,Contract research,Total,Number,£000s,249.0
10007143,University of Durham,England,North East,2016/17,Contract research,SME's,Value,£000s,527.0
10007143,University of Durham,England,North East,2016/17,Contract research,Other (non-SME) commercial businesses,Value,£000s,3893.0
10007143,University of Durham,England,North East,2016/17,Contract research,Non-commercial organisations,Value,£000s,4420.0
10007143,University of Durham,England,North East,2016/17,Contract research,Total,Value,£000s,8840.0
10007143,University of Durham,England,North East,2016/17,Facilities and equipment related,SME's,Number,£000s,370.0
10007143,University of Durham,England,North East,2016/17,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,249.0
10007143,University of Durham,England,North East,2016/17,Facilities and equipment related,Non-commercial organisations,Number,£000s,48.0
10007143,University of Durham,England,North East,2016/17,Facilities and equipment related,Total,Number,£000s,667.0
10007143,University of Durham,England,North East,2016/17,Facilities and equipment related,SME's,Value,£000s,186.0
10007143,University of Durham,England,North East,2016/17,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,348.0
10007143,University of Durham,England,North East,2016/17,Facilities and equipment related,Non-commercial organisations,Value,£000s,100.0
10007143,University of Durham,England,North East,2016/17,Facilities and equipment related,Total,Value,£000s,634.0
10007143,University of Durham,England,North East,2017/18,Consultancy,SME's,Number,£000s,63.0
10007143,University of Durham,England,North East,2017/18,Consultancy,Other (non-SME) commercial businesses,Number,£000s,183.0
10007143,University of Durham,England,North East,2017/18,Consultancy,Non-commercial organisations,Number,£000s,152.0
10007143,University of Durham,England,North East,2017/18,Consultancy,Total,Number,£000s,398.0
10007143,University of Durham,England,North East,2017/18,Consultancy,SME's,Value,£000s,141.0
10007143,University of Durham,England,North East,2017/18,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1392.0
10007143,University of Durham,England,North East,2017/18,Consultancy,Non-commercial organisations,Value,£000s,6196.0
10007143,University of Durham,England,North East,2017/18,Consultancy,Total,Value,£000s,7729.0
10007143,University of Durham,England,North East,2017/18,Contract research,SME's,Number,£000s,58.0
10007143,University of Durham,England,North East,2017/18,Contract research,Other (non-SME) commercial businesses,Number,£000s,141.0
10007143,University of Durham,England,North East,2017/18,Contract research,Non-commercial organisations,Number,£000s,131.0
10007143,University of Durham,England,North East,2017/18,Contract research,Total,Number,£000s,330.0
10007143,University of Durham,England,North East,2017/18,Contract research,SME's,Value,£000s,852.0
10007143,University of Durham,England,North East,2017/18,Contract research,Other (non-SME) commercial businesses,Value,£000s,4117.0
10007143,University of Durham,England,North East,2017/18,Contract research,Non-commercial organisations,Value,£000s,3291.0
10007143,University of Durham,England,North East,2017/18,Contract research,Total,Value,£000s,8260.0
10007143,University of Durham,England,North East,2017/18,Facilities and equipment related,SME's,Number,£000s,22.0
10007143,University of Durham,England,North East,2017/18,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,39.0
10007143,University of Durham,England,North East,2017/18,Facilities and equipment related,Non-commercial organisations,Number,£000s,38.0
10007143,University of Durham,England,North East,2017/18,Facilities and equipment related,Total,Number,£000s,99.0
10007143,University of Durham,England,North East,2017/18,Facilities and equipment related,SME's,Value,£000s,114.0
10007143,University of Durham,England,North East,2017/18,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,227.0
10007143,University of Durham,England,North East,2017/18,Facilities and equipment related,Non-commercial organisations,Value,£000s,116.0
10007143,University of Durham,England,North East,2017/18,Facilities and equipment related,Total,Value,£000s,457.0
10007143,University of Durham,England,North East,2018/19,Consultancy,SME's,Number,£000s,30.0
10007143,University of Durham,England,North East,2018/19,Consultancy,Other (non-SME) commercial businesses,Number,£000s,118.0
10007143,University of Durham,England,North East,2018/19,Consultancy,Non-commercial organisations,Number,£000s,105.0
10007143,University of Durham,England,North East,2018/19,Consultancy,Total,Number,£000s,253.0
10007143,University of Durham,England,North East,2018/19,Consultancy,SME's,Value,£000s,273.0
10007143,University of Durham,England,North East,2018/19,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1294.0
10007143,University of Durham,England,North East,2018/19,Consultancy,Non-commercial organisations,Value,£000s,4786.0
10007143,University of Durham,England,North East,2018/19,Consultancy,Total,Value,£000s,6353.0
10007143,University of Durham,England,North East,2018/19,Contract research,SME's,Number,£000s,42.0
10007143,University of Durham,England,North East,2018/19,Contract research,Other (non-SME) commercial businesses,Number,£000s,144.0
10007143,University of Durham,England,North East,2018/19,Contract research,Non-commercial organisations,Number,£000s,135.0
10007143,University of Durham,England,North East,2018/19,Contract research,Total,Number,£000s,321.0
10007143,University of Durham,England,North East,2018/19,Contract research,SME's,Value,£000s,784.0
10007143,University of Durham,England,North East,2018/19,Contract research,Other (non-SME) commercial businesses,Value,£000s,3718.0
10007143,University of Durham,England,North East,2018/19,Contract research,Non-commercial organisations,Value,£000s,3566.0
10007143,University of Durham,England,North East,2018/19,Contract research,Total,Value,£000s,8068.0
10007143,University of Durham,England,North East,2018/19,Facilities and equipment related,SME's,Number,£000s,81.0
10007143,University of Durham,England,North East,2018/19,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,64.0
10007143,University of Durham,England,North East,2018/19,Facilities and equipment related,Non-commercial organisations,Number,£000s,71.0
10007143,University of Durham,England,North East,2018/19,Facilities and equipment related,Total,Number,£000s,216.0
10007143,University of Durham,England,North East,2018/19,Facilities and equipment related,SME's,Value,£000s,48.0
10007143,University of Durham,England,North East,2018/19,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,230.0
10007143,University of Durham,England,North East,2018/19,Facilities and equipment related,Non-commercial organisations,Value,£000s,25.0
10007143,University of Durham,England,North East,2018/19,Facilities and equipment related,Total,Value,£000s,303.0
10007143,University of Durham,England,North East,2019/20,Consultancy,SME's,Number,£000s,18.0
10007143,University of Durham,England,North East,2019/20,Consultancy,Other (non-SME) commercial businesses,Number,£000s,48.0
10007143,University of Durham,England,North East,2019/20,Consultancy,Non-commercial organisations,Number,£000s,39.0
10007143,University of Durham,England,North East,2019/20,Consultancy,Total,Number,£000s,105.0
10007143,University of Durham,England,North East,2019/20,Consultancy,SME's,Value,£000s,387.0
10007143,University of Durham,England,North East,2019/20,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1116.0
10007143,University of Durham,England,North East,2019/20,Consultancy,Non-commercial organisations,Value,£000s,572.0
10007143,University of Durham,England,North East,2019/20,Consultancy,Total,Value,£000s,2075.0
10007143,University of Durham,England,North East,2019/20,Contract research,SME's,Number,£000s,7.0
10007143,University of Durham,England,North East,2019/20,Contract research,Other (non-SME) commercial businesses,Number,£000s,121.0
10007143,University of Durham,England,North East,2019/20,Contract research,Non-commercial organisations,Number,£000s,122.0
10007143,University of Durham,England,North East,2019/20,Contract research,Total,Number,£000s,250.0
10007143,University of Durham,England,North East,2019/20,Contract research,SME's,Value,£000s,134.0
10007143,University of Durham,England,North East,2019/20,Contract research,Other (non-SME) commercial businesses,Value,£000s,4005.0
10007143,University of Durham,England,North East,2019/20,Contract research,Non-commercial organisations,Value,£000s,3940.0
10007143,University of Durham,England,North East,2019/20,Contract research,Total,Value,£000s,8079.0
10007143,University of Durham,England,North East,2019/20,Facilities and equipment related,SME's,Number,£000s,11.0
10007143,University of Durham,England,North East,2019/20,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,49.0
10007143,University of Durham,England,North East,2019/20,Facilities and equipment related,Non-commercial organisations,Number,£000s,34.0
10007143,University of Durham,England,North East,2019/20,Facilities and equipment related,Total,Number,£000s,94.0
10007143,University of Durham,England,North East,2019/20,Facilities and equipment related,SME's,Value,£000s,69.0
10007143,University of Durham,England,North East,2019/20,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,457.0
10007143,University of Durham,England,North East,2019/20,Facilities and equipment related,Non-commercial organisations,Value,£000s,82.0
10007143,University of Durham,England,North East,2019/20,Facilities and equipment related,Total,Value,£000s,608.0
10007143,University of Durham,England,North East,2020/21,Consultancy,SME's,Number,£000s,34.0
10007143,University of Durham,England,North East,2020/21,Consultancy,Other (non-SME) commercial businesses,Number,£000s,34.0
10007143,University of Durham,England,North East,2020/21,Consultancy,Non-commercial organisations,Number,£000s,51.0
10007143,University of Durham,England,North East,2020/21,Consultancy,Total,Number,£000s,119.0
10007143,University of Durham,England,North East,2020/21,Consultancy,SME's,Value,£000s,129.0
10007143,University of Durham,England,North East,2020/21,Consultancy,Other (non-SME) commercial businesses,Value,£000s,490.0
10007143,University of Durham,England,North East,2020/21,Consultancy,Non-commercial organisations,Value,£000s,435.0
10007143,University of Durham,England,North East,2020/21,Consultancy,Total,Value,£000s,1054.0
10007143,University of Durham,England,North East,2020/21,Contract research,SME's,Number,£000s,11.0
10007143,University of Durham,England,North East,2020/21,Contract research,Other (non-SME) commercial businesses,Number,£000s,108.0
10007143,University of Durham,England,North East,2020/21,Contract research,Non-commercial organisations,Number,£000s,165.0
10007143,University of Durham,England,North East,2020/21,Contract research,Total,Number,£000s,284.0
10007143,University of Durham,England,North East,2020/21,Contract research,SME's,Value,£000s,58.0
10007143,University of Durham,England,North East,2020/21,Contract research,Other (non-SME) commercial businesses,Value,£000s,3866.0
10007143,University of Durham,England,North East,2020/21,Contract research,Non-commercial organisations,Value,£000s,8077.0
10007143,University of Durham,England,North East,2020/21,Contract research,Total,Value,£000s,12001.0
10007143,University of Durham,England,North East,2020/21,Facilities and equipment related,SME's,Number,£000s,79.0
10007143,University of Durham,England,North East,2020/21,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,167.0
10007143,University of Durham,England,North East,2020/21,Facilities and equipment related,Non-commercial organisations,Number,£000s,327.0
10007143,University of Durham,England,North East,2020/21,Facilities and equipment related,Total,Number,£000s,573.0
10007143,University of Durham,England,North East,2020/21,Facilities and equipment related,SME's,Value,£000s,95.0
10007143,University of Durham,England,North East,2020/21,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,461.0
10007143,University of Durham,England,North East,2020/21,Facilities and equipment related,Non-commercial organisations,Value,£000s,377.0
10007143,University of Durham,England,North East,2020/21,Facilities and equipment related,Total,Value,£000s,933.0
10007143,University of Durham,England,North East,2021/22,Consultancy,SME's,Number,£000s,69.0
10007143,University of Durham,England,North East,2021/22,Consultancy,Other (non-SME) commercial businesses,Number,£000s,37.0
10007143,University of Durham,England,North East,2021/22,Consultancy,Non-commercial organisations,Number,£000s,121.0
10007143,University of Durham,England,North East,2021/22,Consultancy,Total,Number,£000s,227.0
10007143,University of Durham,England,North East,2021/22,Consultancy,SME's,Value,£000s,324.0
10007143,University of Durham,England,North East,2021/22,Consultancy,Other (non-SME) commercial businesses,Value,£000s,268.0
10007143,University of Durham,England,North East,2021/22,Consultancy,Non-commercial organisations,Value,£000s,695.0
10007143,University of Durham,England,North East,2021/22,Consultancy,Total,Value,£000s,1287.0
10007143,University of Durham,England,North East,2021/22,Contract research,SME's,Number,£000s,4.0
10007143,University of Durham,England,North East,2021/22,Contract research,Other (non-SME) commercial businesses,Number,£000s,69.0
10007143,University of Durham,England,North East,2021/22,Contract research,Non-commercial organisations,Number,£000s,179.0
10007143,University of Durham,England,North East,2021/22,Contract research,Total,Number,£000s,252.0
10007143,University of Durham,England,North East,2021/22,Contract research,SME's,Value,£000s,121.0
10007143,University of Durham,England,North East,2021/22,Contract research,Other (non-SME) commercial businesses,Value,£000s,4454.0
10007143,University of Durham,England,North East,2021/22,Contract research,Non-commercial organisations,Value,£000s,8974.0
10007143,University of Durham,England,North East,2021/22,Contract research,Total,Value,£000s,13549.0
10007143,University of Durham,England,North East,2021/22,Facilities and equipment related,SME's,Number,£000s,303.0
10007143,University of Durham,England,North East,2021/22,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,243.0
10007143,University of Durham,England,North East,2021/22,Facilities and equipment related,Non-commercial organisations,Number,£000s,268.0
10007143,University of Durham,England,North East,2021/22,Facilities and equipment related,Total,Number,£000s,814.0
10007143,University of Durham,England,North East,2021/22,Facilities and equipment related,SME's,Value,£000s,645.0
10007143,University of Durham,England,North East,2021/22,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,682.0
10007143,University of Durham,England,North East,2021/22,Facilities and equipment related,Non-commercial organisations,Value,£000s,443.0
10007143,University of Durham,England,North East,2021/22,Facilities and equipment related,Total,Value,£000s,1770.0
10007143,University of Durham,England,North East,2022/23,Consultancy,SME's,Number,£000s,38.0
10007143,University of Durham,England,North East,2022/23,Consultancy,Other (non-SME) commercial businesses,Number,£000s,16.0
10007143,University of Durham,England,North East,2022/23,Consultancy,Non-commercial organisations,Number,£000s,85.0
10007143,University of Durham,England,North East,2022/23,Consultancy,Total,Number,£000s,139.0
10007143,University of Durham,England,North East,2022/23,Consultancy,SME's,Value,£000s,472.0
10007143,University of Durham,England,North East,2022/23,Consultancy,Other (non-SME) commercial businesses,Value,£000s,182.0
10007143,University of Durham,England,North East,2022/23,Consultancy,Non-commercial organisations,Value,£000s,1274.0
10007143,University of Durham,England,North East,2022/23,Consultancy,Total,Value,£000s,1928.0
10007143,University of Durham,England,North East,2022/23,Contract research,SME's,Number,£000s,23.0
10007143,University of Durham,England,North East,2022/23,Contract research,Other (non-SME) commercial businesses,Number,£000s,91.0
10007143,University of Durham,England,North East,2022/23,Contract research,Non-commercial organisations,Number,£000s,245.0
10007143,University of Durham,England,North East,2022/23,Contract research,Total,Number,£000s,359.0
10007143,University of Durham,England,North East,2022/23,Contract research,SME's,Value,£000s,326.0
10007143,University of Durham,England,North East,2022/23,Contract research,Other (non-SME) commercial businesses,Value,£000s,3642.0
10007143,University of Durham,England,North East,2022/23,Contract research,Non-commercial organisations,Value,£000s,10241.0
10007143,University of Durham,England,North East,2022/23,Contract research,Total,Value,£000s,14209.0
10007143,University of Durham,England,North East,2022/23,Facilities and equipment related,SME's,Number,£000s,381.0
10007143,University of Durham,England,North East,2022/23,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,163.0
10007143,University of Durham,England,North East,2022/23,Facilities and equipment related,Non-commercial organisations,Number,£000s,209.0
10007143,University of Durham,England,North East,2022/23,Facilities and equipment related,Total,Number,£000s,753.0
10007143,University of Durham,England,North East,2022/23,Facilities and equipment related,SME's,Value,£000s,706.0
10007143,University of Durham,England,North East,2022/23,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,1588.0
10007143,University of Durham,England,North East,2022/23,Facilities and equipment related,Non-commercial organisations,Value,£000s,427.0
10007143,University of Durham,England,North East,2022/23,Facilities and equipment related,Total,Value,£000s,2721.0
10007143,University of Durham,England,North East,2023/24,Consultancy,SME's,Number,£000s,18.0
10007143,University of Durham,England,North East,2023/24,Consultancy,Other (non-SME) commercial businesses,Number,£000s,5.0
10007143,University of Durham,England,North East,2023/24,Consultancy,Non-commercial organisations,Number,£000s,53.0
10007143,University of Durham,England,North East,2023/24,Consultancy,Total,Number,£000s,76.0
10007143,University of Durham,England,North East,2023/24,Consultancy,SME's,Value,£000s,179.0
10007143,University of Durham,England,North East,2023/24,Consultancy,Other (non-SME) commercial businesses,Value,£000s,31.0
10007143,University of Durham,England,North East,2023/24,Consultancy,Non-commercial organisations,Value,£000s,705.0
10007143,University of Durham,England,North East,2023/24,Consultancy,Total,Value,£000s,915.0
10007143,University of Durham,England,North East,2023/24,Contract research,SME's,Number,£000s,12.0
10007143,University of Durham,England,North East,2023/24,Contract research,Other (non-SME) commercial businesses,Number,£000s,75.0
10007143,University of Durham,England,North East,2023/24,Contract research,Non-commercial organisations,Number,£000s,174.0
10007143,University of Durham,England,North East,2023/24,Contract research,Total,Number,£000s,261.0
10007143,University of Durham,England,North East,2023/24,Contract research,SME's,Value,£000s,117.0
10007143,University of Durham,England,North East,2023/24,Contract research,Other (non-SME) commercial businesses,Value,£000s,2808.0
10007143,University of Durham,England,North East,2023/24,Contract research,Non-commercial organisations,Value,£000s,8692.0
10007143,University of Durham,England,North East,2023/24,Contract research,Total,Value,£000s,11617.0
10007143,University of Durham,England,North East,2023/24,Facilities and equipment related,SME's,Number,£000s,388.0
10007143,University of Durham,England,North East,2023/24,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,247.0
10007143,University of Durham,England,North East,2023/24,Facilities and equipment related,Non-commercial organisations,Number,£000s,96.0
10007143,University of Durham,England,North East,2023/24,Facilities and equipment related,Total,Number,£000s,731.0
10007143,University of Durham,England,North East,2023/24,Facilities and equipment related,SME's,Value,£000s,570.0
10007143,University of Durham,England,North East,2023/24,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,2291.0
10007143,University of Durham,England,North East,2023/24,Facilities and equipment related,Non-commercial organisations,Value,£000s,382.0
10007143,University of Durham,England,North East,2023/24,Facilities and equipment related,Total,Value,£000s,3243.0
10007799,Newcastle University,England,North East,2014/15,Consultancy,SME's,Number,£000s,32.0
10007799,Newcastle University,England,North East,2014/15,Consultancy,Other (non-SME) commercial businesses,Number,£000s,253.0
10007799,Newcastle University,England,North East,2014/15,Consultancy,Non-commercial organisations,Number,£000s,144.0
10007799,Newcastle University,England,North East,2014/15,Consultancy,Total,Number,£000s,429.0
10007799,Newcastle University,England,North East,2014/15,Consultancy,SME's,Value,£000s,138.0
10007799,Newcastle University,England,North East,2014/15,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1754.0
10007799,Newcastle University,England,North East,2014/15,Consultancy,Non-commercial organisations,Value,£000s,2032.0
10007799,Newcastle University,England,North East,2014/15,Consultancy,Total,Value,£000s,3924.0
10007799,Newcastle University,England,North East,2014/15,Contract research,SME's,Number,£000s,40.0
10007799,Newcastle University,England,North East,2014/15,Contract research,Other (non-SME) commercial businesses,Number,£000s,270.0
10007799,Newcastle University,England,North East,2014/15,Contract research,Non-commercial organisations,Number,£000s,853.0
10007799,Newcastle University,England,North East,2014/15,Contract research,Total,Number,£000s,1163.0
10007799,Newcastle University,England,North East,2014/15,Contract research,SME's,Value,£000s,562.0
10007799,Newcastle University,England,North East,2014/15,Contract research,Other (non-SME) commercial businesses,Value,£000s,6356.0
10007799,Newcastle University,England,North East,2014/15,Contract research,Non-commercial organisations,Value,£000s,22632.0
10007799,Newcastle University,England,North East,2014/15,Contract research,Total,Value,£000s,29550.0
10007799,Newcastle University,England,North East,2014/15,Facilities and equipment related,SME's,Number,£000s,44.0
10007799,Newcastle University,England,North East,2014/15,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,82.0
10007799,Newcastle University,England,North East,2014/15,Facilities and equipment related,Non-commercial organisations,Number,£000s,84.0
10007799,Newcastle University,England,North East,2014/15,Facilities and equipment related,Total,Number,£000s,210.0
10007799,Newcastle University,England,North East,2014/15,Facilities and equipment related,SME's,Value,£000s,699.0
10007799,Newcastle University,England,North East,2014/15,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,258.0
10007799,Newcastle University,England,North East,2014/15,Facilities and equipment related,Non-commercial organisations,Value,£000s,1168.0
10007799,Newcastle University,England,North East,2014/15,Facilities and equipment related,Total,Value,£000s,2125.0
10007799,Newcastle University,England,North East,2015/16,Consultancy,SME's,Number,£000s,34.0
10007799,Newcastle University,England,North East,2015/16,Consultancy,Other (non-SME) commercial businesses,Number,£000s,314.0
10007799,Newcastle University,England,North East,2015/16,Consultancy,Non-commercial organisations,Number,£000s,158.0
10007799,Newcastle University,England,North East,2015/16,Consultancy,Total,Number,£000s,506.0
10007799,Newcastle University,England,North East,2015/16,Consultancy,SME's,Value,£000s,315.0
10007799,Newcastle University,England,North East,2015/16,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1093.0
10007799,Newcastle University,England,North East,2015/16,Consultancy,Non-commercial organisations,Value,£000s,2516.0
10007799,Newcastle University,England,North East,2015/16,Consultancy,Total,Value,£000s,3924.0
10007799,Newcastle University,England,North East,2015/16,Contract research,SME's,Number,£000s,68.0
10007799,Newcastle University,England,North East,2015/16,Contract research,Other (non-SME) commercial businesses,Number,£000s,215.0
10007799,Newcastle University,England,North East,2015/16,Contract research,Non-commercial organisations,Number,£000s,971.0
10007799,Newcastle University,England,North East,2015/16,Contract research,Total,Number,£000s,1254.0
10007799,Newcastle University,England,North East,2015/16,Contract research,SME's,Value,£000s,922.0
10007799,Newcastle University,England,North East,2015/16,Contract research,Other (non-SME) commercial businesses,Value,£000s,6464.0
10007799,Newcastle University,England,North East,2015/16,Contract research,Non-commercial organisations,Value,£000s,23655.0
10007799,Newcastle University,England,North East,2015/16,Contract research,Total,Value,£000s,31041.0
10007799,Newcastle University,England,North East,2015/16,Facilities and equipment related,SME's,Number,£000s,35.0
10007799,Newcastle University,England,North East,2015/16,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,61.0
10007799,Newcastle University,England,North East,2015/16,Facilities and equipment related,Non-commercial organisations,Number,£000s,80.0
10007799,Newcastle University,England,North East,2015/16,Facilities and equipment related,Total,Number,£000s,176.0
10007799,Newcastle University,England,North East,2015/16,Facilities and equipment related,SME's,Value,£000s,605.0
10007799,Newcastle University,England,North East,2015/16,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,239.0
10007799,Newcastle University,England,North East,2015/16,Facilities and equipment related,Non-commercial organisations,Value,£000s,1235.0
10007799,Newcastle University,England,North East,2015/16,Facilities and equipment related,Total,Value,£000s,2079.0
10007799,Newcastle University,England,North East,2016/17,Consultancy,SME's,Number,£000s,55.0
10007799,Newcastle University,England,North East,2016/17,Consultancy,Other (non-SME) commercial businesses,Number,£000s,284.0
10007799,Newcastle University,England,North East,2016/17,Consultancy,Non-commercial organisations,Number,£000s,141.0
10007799,Newcastle University,England,North East,2016/17,Consultancy,Total,Number,£000s,480.0
10007799,Newcastle University,England,North East,2016/17,Consultancy,SME's,Value,£000s,536.0
10007799,Newcastle University,England,North East,2016/17,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1835.0
10007799,Newcastle University,England,North East,2016/17,Consultancy,Non-commercial organisations,Value,£000s,2809.0
10007799,Newcastle University,England,North East,2016/17,Consultancy,Total,Value,£000s,5180.0
10007799,Newcastle University,England,North East,2016/17,Contract research,SME's,Number,£000s,63.0
10007799,Newcastle University,England,North East,2016/17,Contract research,Other (non-SME) commercial businesses,Number,£000s,219.0
