UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Metric,Category Marker,Value
10007143,University of Durham,England,North East,2016/17,Estimated current employment of all active firms (FTE),Other spin-outs,242.0
10007143,University of Durham,England,North East,2016/17,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2016/17,Estimated current employment of all active firms (FTE),Student start-ups,0.0
10007143,University of Durham,England,North East,2016/17,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2016/17,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,17436.0
10007143,University of Durham,England,North East,2016/17,Estimated current turnover of all active firms (£ thousands),Other spin-outs,32670.0
10007143,University of Durham,England,North East,2016/17,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2016/17,Estimated current turnover of all active firms (£ thousands),Student start-ups,0.0
10007143,University of Durham,England,North East,2016/17,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2016/17,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,21120.0
10007143,University of Durham,England,North East,2016/17,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2016/17,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2016/17,Estimated external investment received (£ thousands),Student start-ups,12.0
10007143,University of Durham,England,North East,2016/17,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2016/17,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,1.0
10007143,University of Durham,England,North East,2016/17,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2016/17,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2016/17,Number (of newly registered companies within the reporting period),Student start-ups,2.0
10007143,University of Durham,England,North East,2016/17,Number (of newly registered companies within the reporting period),Social enterprises,0.0
10007143,University of Durham,England,North East,2016/17,Number of active firms,Spin-outs with some HE provider ownership,14.0
10007143,University of Durham,England,North East,2016/17,Number of active firms,Other spin-outs,6.0
10007143,University of Durham,England,North East,2016/17,Number of active firms,Staff start-ups,0.0
10007143,University of Durham,England,North East,2016/17,Number of active firms,Student start-ups,6.0
10007143,University of Durham,England,North East,2016/17,Number of active firms,Social enterprises,0.0
10007143,University of Durham,England,North East,2016/17,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,12.0
10007143,University of Durham,England,North East,2016/17,Number still active which have survived at least 3 years,Other spin-outs,6.0
10007143,University of Durham,England,North East,2016/17,Number still active which have survived at least 3 years,Staff start-ups,1.0
10007143,University of Durham,England,North East,2016/17,Number still active which have survived at least 3 years,Student start-ups,0.0
10007143,University of Durham,England,North East,2016/17,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2017/18,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,271.0
10007143,University of Durham,England,North East,2017/18,Estimated current employment of all active firms (FTE),Other spin-outs,113.0
10007143,University of Durham,England,North East,2017/18,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2017/18,Estimated current employment of all active firms (FTE),Student start-ups,9.0
10007143,University of Durham,England,North East,2017/18,Estimated current employment of all active firms (FTE),Social enterprises,1.0
10007143,University of Durham,England,North East,2017/18,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,38726.0
10007143,University of Durham,England,North East,2017/18,Estimated current turnover of all active firms (£ thousands),Other spin-outs,20192.0
10007143,University of Durham,England,North East,2017/18,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2017/18,Estimated current turnover of all active firms (£ thousands),Student start-ups,0.0
10007143,University of Durham,England,North East,2017/18,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2017/18,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,13770.0
10007143,University of Durham,England,North East,2017/18,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2017/18,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2017/18,Estimated external investment received (£ thousands),Student start-ups,3.0
10007143,University of Durham,England,North East,2017/18,Estimated external investment received (£ thousands),Social enterprises,1.0
10007143,University of Durham,England,North East,2017/18,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,2.0
10007143,University of Durham,England,North East,2017/18,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2017/18,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2017/18,Number (of newly registered companies within the reporting period),Student start-ups,9.0
10007143,University of Durham,England,North East,2017/18,Number (of newly registered companies within the reporting period),Social enterprises,1.0
10007143,University of Durham,England,North East,2017/18,Number of active firms,Spin-outs with some HE provider ownership,17.0
10007143,University of Durham,England,North East,2017/18,Number of active firms,Other spin-outs,4.0
10007143,University of Durham,England,North East,2017/18,Number of active firms,Staff start-ups,1.0
10007143,University of Durham,England,North East,2017/18,Number of active firms,Student start-ups,16.0
10007143,University of Durham,England,North East,2017/18,Number of active firms,Social enterprises,1.0
10007143,University of Durham,England,North East,2017/18,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,12.0
10007143,University of Durham,England,North East,2017/18,Number still active which have survived at least 3 years,Other spin-outs,4.0
10007143,University of Durham,England,North East,2017/18,Number still active which have survived at least 3 years,Staff start-ups,1.0
10007143,University of Durham,England,North East,2017/18,Number still active which have survived at least 3 years,Student start-ups,0.0
10007143,University of Durham,England,North East,2017/18,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2018/19,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,344.0
10007143,University of Durham,England,North East,2018/19,Estimated current employment of all active firms (FTE),Other spin-outs,111.0
10007143,University of Durham,England,North East,2018/19,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2018/19,Estimated current employment of all active firms (FTE),Student start-ups,24.0
10007143,University of Durham,England,North East,2018/19,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2018/19,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,39166.0
10007143,University of Durham,England,North East,2018/19,Estimated current turnover of all active firms (£ thousands),Other spin-outs,19774.0
10007143,University of Durham,England,North East,2018/19,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2018/19,Estimated current turnover of all active firms (£ thousands),Student start-ups,0.0
10007143,University of Durham,England,North East,2018/19,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2018/19,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,21450.0
10007143,University of Durham,England,North East,2018/19,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2018/19,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2018/19,Estimated external investment received (£ thousands),Student start-ups,20.0
10007143,University of Durham,England,North East,2018/19,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2018/19,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,3.0
10007143,University of Durham,England,North East,2018/19,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2018/19,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2018/19,Number (of newly registered companies within the reporting period),Student start-ups,10.0
10007143,University of Durham,England,North East,2018/19,Number (of newly registered companies within the reporting period),Social enterprises,0.0
10007143,University of Durham,England,North East,2018/19,Number of active firms,Spin-outs with some HE provider ownership,30.0
10007143,University of Durham,England,North East,2018/19,Number of active firms,Other spin-outs,3.0
10007143,University of Durham,England,North East,2018/19,Number of active firms,Staff start-ups,1.0
10007143,University of Durham,England,North East,2018/19,Number of active firms,Student start-ups,26.0
10007143,University of Durham,England,North East,2018/19,Number of active firms,Social enterprises,0.0
10007143,University of Durham,England,North East,2018/19,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,15.0
10007143,University of Durham,England,North East,2018/19,Number still active which have survived at least 3 years,Other spin-outs,3.0
10007143,University of Durham,England,North East,2018/19,Number still active which have survived at least 3 years,Staff start-ups,1.0
10007143,University of Durham,England,North East,2018/19,Number still active which have survived at least 3 years,Student start-ups,0.0
10007143,University of Durham,England,North East,2018/19,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2019/20,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,353.0
10007143,University of Durham,England,North East,2019/20,Estimated current employment of all active firms (FTE),Other spin-outs,112.0
10007143,University of Durham,England,North East,2019/20,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2019/20,Estimated current employment of all active firms (FTE),Student start-ups,19.0
10007143,University of Durham,England,North East,2019/20,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2019/20,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,33801.0
10007143,University of Durham,England,North East,2019/20,Estimated current turnover of all active firms (£ thousands),Other spin-outs,25511.0
10007143,University of Durham,England,North East,2019/20,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2019/20,Estimated current turnover of all active firms (£ thousands),Student start-ups,31.0
10007143,University of Durham,England,North East,2019/20,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2019/20,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,725.0
10007143,University of Durham,England,North East,2019/20,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2019/20,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2019/20,Estimated external investment received (£ thousands),Student start-ups,233.0
10007143,University of Durham,England,North East,2019/20,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2019/20,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,4.0
10007143,University of Durham,England,North East,2019/20,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2019/20,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2019/20,Number (of newly registered companies within the reporting period),Student start-ups,27.0
10007143,University of Durham,England,North East,2019/20,Number (of newly registered companies within the reporting period),Social enterprises,0.0
10007143,University of Durham,England,North East,2019/20,Number of active firms,Spin-outs with some HE provider ownership,23.0
10007143,University of Durham,England,North East,2019/20,Number of active firms,Other spin-outs,3.0
10007143,University of Durham,England,North East,2019/20,Number of active firms,Staff start-ups,1.0
10007143,University of Durham,England,North East,2019/20,Number of active firms,Student start-ups,35.0
10007143,University of Durham,England,North East,2019/20,Number of active firms,Social enterprises,0.0
10007143,University of Durham,England,North East,2019/20,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,16.0
10007143,University of Durham,England,North East,2019/20,Number still active which have survived at least 3 years,Other spin-outs,3.0
10007143,University of Durham,England,North East,2019/20,Number still active which have survived at least 3 years,Staff start-ups,1.0
10007143,University of Durham,England,North East,2019/20,Number still active which have survived at least 3 years,Student start-ups,5.0
10007143,University of Durham,England,North East,2019/20,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2020/21,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,402.0
10007143,University of Durham,England,North East,2020/21,Estimated current employment of all active firms (FTE),Other spin-outs,147.0
10007143,University of Durham,England,North East,2020/21,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2020/21,Estimated current employment of all active firms (FTE),Student start-ups,26.0
10007143,University of Durham,England,North East,2020/21,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2020/21,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,22825.0
10007143,University of Durham,England,North East,2020/21,Estimated current turnover of all active firms (£ thousands),Other spin-outs,24800.0
10007143,University of Durham,England,North East,2020/21,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2020/21,Estimated current turnover of all active firms (£ thousands),Student start-ups,226.0
10007143,University of Durham,England,North East,2020/21,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2020/21,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,0.0
10007143,University of Durham,England,North East,2020/21,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2020/21,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2020/21,Estimated external investment received (£ thousands),Student start-ups,3246.0
10007143,University of Durham,England,North East,2020/21,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2020/21,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,0.0
10007143,University of Durham,England,North East,2020/21,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2020/21,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2020/21,Number (of newly registered companies within the reporting period),Student start-ups,19.0
10007143,University of Durham,England,North East,2020/21,Number (of newly registered companies within the reporting period),Social enterprises,0.0
10007143,University of Durham,England,North East,2020/21,Number of active firms,Spin-outs with some HE provider ownership,22.0
10007143,University of Durham,England,North East,2020/21,Number of active firms,Other spin-outs,2.0
10007143,University of Durham,England,North East,2020/21,Number of active firms,Staff start-ups,0.0
10007143,University of Durham,England,North East,2020/21,Number of active firms,Student start-ups,38.0
10007143,University of Durham,England,North East,2020/21,Number of active firms,Social enterprises,0.0
10007143,University of Durham,England,North East,2020/21,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,15.0
10007143,University of Durham,England,North East,2020/21,Number still active which have survived at least 3 years,Other spin-outs,2.0
10007143,University of Durham,England,North East,2020/21,Number still active which have survived at least 3 years,Staff start-ups,0.0
10007143,University of Durham,England,North East,2020/21,Number still active which have survived at least 3 years,Student start-ups,9.0
10007143,University of Durham,England,North East,2020/21,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2021/22,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,483.0
10007143,University of Durham,England,North East,2021/22,Estimated current employment of all active firms (FTE),Other spin-outs,129.0
10007143,University of Durham,England,North East,2021/22,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2021/22,Estimated current employment of all active firms (FTE),Student start-ups,90.0
10007143,University of Durham,England,North East,2021/22,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2021/22,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,17097.0
10007143,University of Durham,England,North East,2021/22,Estimated current turnover of all active firms (£ thousands),Other spin-outs,25333.0
10007143,University of Durham,England,North East,2021/22,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2021/22,Estimated current turnover of all active firms (£ thousands),Student start-ups,94.0
10007143,University of Durham,England,North East,2021/22,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2021/22,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,0.0
10007143,University of Durham,England,North East,2021/22,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2021/22,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2021/22,Estimated external investment received (£ thousands),Student start-ups,1445.0
10007143,University of Durham,England,North East,2021/22,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2021/22,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,8.0
10007143,University of Durham,England,North East,2021/22,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2021/22,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2021/22,Number (of newly registered companies within the reporting period),Student start-ups,32.0
10007143,University of Durham,England,North East,2021/22,Number (of newly registered companies within the reporting period),Social enterprises,0.0
10007143,University of Durham,England,North East,2021/22,Number of active firms,Spin-outs with some HE provider ownership,30.0
10007143,University of Durham,England,North East,2021/22,Number of active firms,Other spin-outs,3.0
10007143,University of Durham,England,North East,2021/22,Number of active firms,Staff start-ups,0.0
10007143,University of Durham,England,North East,2021/22,Number of active firms,Student start-ups,66.0
10007143,University of Durham,England,North East,2021/22,Number of active firms,Social enterprises,0.0
10007143,University of Durham,England,North East,2021/22,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,20.0
10007143,University of Durham,England,North East,2021/22,Number still active which have survived at least 3 years,Other spin-outs,3.0
10007143,University of Durham,England,North East,2021/22,Number still active which have survived at least 3 years,Staff start-ups,0.0
10007143,University of Durham,England,North East,2021/22,Number still active which have survived at least 3 years,Student start-ups,12.0
10007143,University of Durham,England,North East,2021/22,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2022/23,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,519.0
10007143,University of Durham,England,North East,2022/23,Estimated current employment of all active firms (FTE),Other spin-outs,129.0
10007143,University of Durham,England,North East,2022/23,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2022/23,Estimated current employment of all active firms (FTE),Student start-ups,52.0
10007143,University of Durham,England,North East,2022/23,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2022/23,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,40875.0
10007143,University of Durham,England,North East,2022/23,Estimated current turnover of all active firms (£ thousands),Other spin-outs,25333.0
10007143,University of Durham,England,North East,2022/23,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2022/23,Estimated current turnover of all active firms (£ thousands),Student start-ups,169.0
10007143,University of Durham,England,North East,2022/23,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2022/23,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,11145.0
10007143,University of Durham,England,North East,2022/23,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2022/23,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2022/23,Estimated external investment received (£ thousands),Student start-ups,1483.0
10007143,University of Durham,England,North East,2022/23,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2022/23,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,1.0
10007143,University of Durham,England,North East,2022/23,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2022/23,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2022/23,Number (of newly registered companies within the reporting period),Student start-ups,26.0
10007143,University of Durham,England,North East,2022/23,Number (of newly registered companies within the reporting period),Social enterprises,0.0
10007143,University of Durham,England,North East,2022/23,Number of active firms,Spin-outs with some HE provider ownership,30.0
10007143,University of Durham,England,North East,2022/23,Number of active firms,Other spin-outs,3.0
10007143,University of Durham,England,North East,2022/23,Number of active firms,Staff start-ups,0.0
10007143,University of Durham,England,North East,2022/23,Number of active firms,Student start-ups,79.0
10007143,University of Durham,England,North East,2022/23,Number of active firms,Social enterprises,0.0
10007143,University of Durham,England,North East,2022/23,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,21.0
10007143,University of Durham,England,North East,2022/23,Number still active which have survived at least 3 years,Other spin-outs,3.0
10007143,University of Durham,England,North East,2022/23,Number still active which have survived at least 3 years,Staff start-ups,0.0
10007143,University of Durham,England,North East,2022/23,Number still active which have survived at least 3 years,Student start-ups,18.0
10007143,University of Durham,England,North East,2022/23,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2023/24,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,453.0
10007143,University of Durham,England,North East,2023/24,Estimated current employment of all active firms (FTE),Other spin-outs,128.0
10007143,University of Durham,England,North East,2023/24,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2023/24,Estimated current employment of all active firms (FTE),Student start-ups,117.0
10007143,University of Durham,England,North East,2023/24,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2023/24,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,35546.0
10007143,University of Durham,England,North East,2023/24,Estimated current turnover of all active firms (£ thousands),Other spin-outs,19487.0
10007143,University of Durham,England,North East,2023/24,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2023/24,Estimated current turnover of all active firms (£ thousands),Student start-ups,137.0
10007143,University of Durham,England,North East,2023/24,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2023/24,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,11033.0
10007143,University of Durham,England,North East,2023/24,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2023/24,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2023/24,Estimated external investment received (£ thousands),Student start-ups,60.0
10007143,University of Durham,England,North East,2023/24,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2023/24,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,2.0
